rank,timestamp,total.total,month,timeRange.start,timeRange.end,user_text
1,2022-07-01T00:00:00.000Z,11,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z,
2,2022-07-01T00:00:00.000Z,1,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z,en>SWinxy
